Учебное_заведение;Город;Число_поступающих;Средний_балл;Широта;Долгота
Средняя общеобразовательная школа 3 г.Бийск;Бийск;8;80;52,5393683;85,2138852
"МБОУ ""Лицей №15""";Березовский;4;80;55,6692853;86,2744636
"МБОУ ""Лицей №15""";Березовский;4;80;56,9096284;60,8180256
Алтайский краевой педагогический лицей-интернат ;Барнаул;1;80;53,3481145;83,7798362
МАОУ гимназия №2 г. Асино;Асино;3;80;56,9908444;86,1765724
Лицей 3 г.Иркутск;Иркутск;1;80;52,2863513;104,280655
ФГБОУ ВПО Поволжский государственный технологический университет;Йошкар-Ола;1;80;56,6343763;47,8998445
"Частная языковая средняя общеобразовательная школа ""Талайе Эль-Мустакбал"" для юношей";Каир;1;80;30,06263;31,24967
Гимназия 14 Университетская г.Новосибирска;Новосибирск;1;80;55,0281016;82,9210575
Структурное подразделение Новосибирского государственного университета Специализированный учебно-научный центр Университета;Новосибирск;2;80;55,0281016;82,9210575
Школа №482;Парголово;1;80;60,0812;30,27626
Средняя общеобразовательная школа 1 г.Первоуральск;Первоуральск;1;80;56,9081665;59,9429205
Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа с углубленным изучением отдельных предметов №30;Пятигорск;1;80;44,0411669;43,0661091
Рудненский политехнический колледж;Рудный;1;80;52,9729;63,11677
Средняя общеобразовательная школа 210 г.Новосибирска;Новосибирск;1;80;55,0281016;82,9210575
Минусинский кадетский корпус;Минусинск;1;80;53,7105509;91,6871866
"МОАУ ""Гимназия №1""";Нефтекамск;1;80;56,0883075;54,2483391
"МОАУ ""Башкирская гимназия""";Нефтекамск;1;80;56,0883075;54,2483391
